Rotulo,Direccion,CodPostal,CCAA,Provincia,Municipio,Localidad,Longitud,Latitud,FechaPvp,HoraPvp,Horario
REPSOL, SANTXOLOPETEGI AUZOA 25,20560,Pa#s Vasco,GIPUZKOA,O#ati,O#ATI,-2.435417,43.053583,19/09/2025,00:00,L-D: 05:00-22:00
CEPSA,CALLE VENTA DE LA ESTRELLA 3,1006,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.658222,42.836833,17/09/2025,10:18,L-D: 07:00-22:00
PETRONOR,CL AVENIDA DE LA ZURRIOLA 32,20002,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-1.975111,43.325194,19/09/2025,19:00,L-D: 07:00-22:00
PETRONOR,CALLE BETO#O 1,1013,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.661694,42.859278,19/09/2025,00:00,L-D: 06:00-22:00
REPSOL,CALLE ARANEDER BIDEA 1,20180,Pa#s Vasco,GIPUZKOA,Oiartzun,OIARTZUN,-1.871833,43.296222,19/09/2025,00:00,L-D: 06:30-21:30
REPSOL,CR N-1 4407,20150,Pa#s Vasco,GIPUZKOA,Villabona,VILLABONA,-2.055528,43.177167,19/09/2025,00:00,L-D: 06:00-22:00
REPSOL,CALLE TERMINAL DE ZAISA-BEHOBIA S/N (CTRA. NAC.1) 484,20305,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.754111,43.341111,19/09/2025,06:00,L-D: 24H
REPSOL,AUTOVIA N-1 KM. 451000,20160,Pa#s Vasco,GIPUZKOA,Lasarte-Oria,LASARTE,-2.021972,43.252778,19/09/2025,17:00,L-D: 06:00-22:00
REPSOL,CR N-1 4233,20249,Pa#s Vasco,GIPUZKOA,Itsasondo,ITSASONDO,-2.163667,43.065889,19/09/2025,00:00,L-D: 06:00-22:00
PETRONOR,CALLE ZUBIAURRE ZAHAR 3,20800,Pa#s Vasco,GIPUZKOA,Zarautz,ZARAUTZ,-2.158361,43.28325,19/09/2025,00:00,L-D: 06:30-22:30
GALP,CARRETERA ANTIGUA NACIONAL I KM. 375,1200,Pa#s Vasco,ARABA/#LAVA,Salvatierra/Agurain,SALVATIERRA O AGURAIN,-2.394583,42.848944,19/09/2025,19:00,L-D: 06:00-22:00
GALP,CARRETERA N 634 KM. 0,20820,Pa#s Vasco,GIPUZKOA,Deba,DEBA,-2.341111,43.293806,19/09/2025,17:00,L-D: 06:00-22:00
GALP,CARRETERA N 634 KM. 41,20820,Pa#s Vasco,GIPUZKOA,Deba,DEBA,-2.340833,43.294167,19/09/2025,17:00,L-V: 08:00-20:00
